,Location,BedRooms,WashRooms,AreaCount,Area,Currency,Price
448,7,3,3,200, Sq. Yd,PKR,96  Lakh
449,84,6,6,300, Sq. Yd,PKR,5.5 Crore
450,85,4,3,150, Sq. Yd,PKR,1.5 Crore
451,4,4,4,350, Sq. Yd,PKR,1.07 Crore
452,2,3,3,200, Sq. Yd,PKR,1  Crore
453,25,11,10,750, Sq. Yd,PKR,16  Crore
454,32,3,3,200, Sq. Yd,PKR,81  Lakh
455,21,3,3,200, Sq. Yd,PKR,1.06 Crore
456,20,3,3,200, Sq. Yd,PKR,1.08 Crore
457,2,3,3,152, Sq. Yd,PKR,93  Lakh
458,86,6,6,233, Sq. Yd,PKR,2.5 Crore
459,14,6,6,500, Sq. Yd,PKR,9.25 Crore
460,32,2,3,235, Sq. Yd,PKR,84  Lakh
461,37,3,3,200, Sq. Yd,PKR,70  Lakh
462,20,3,3,200, Sq. Yd,PKR,1.2 Crore
463,14,6,7,600, Sq. Yd,PKR,18  Crore
464,11,6,7,500, Sq. Yd,PKR,9  Crore
465,14,6,7,"1,000", Sq. Yd,PKR,25  Crore
466,8,6,7,"2,000", Sq. Yd,PKR,40  Crore
467,39,4,3,500, Sq. Yd,PKR,8.5 Crore
